timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-01-02 06:30:00,16648.24,16649.03,16635.93,16641.1,1634.48605,1672642799999,27199037.05616640,62448,797.84209000,13276813.75165340,0
2023-01-02 07:00:00,16641.1,16769.51,16637.44,16735.58,7823.76992,1672644599999,130739499.60336530,182860,4191.30060000,70034917.68037930,0
2023-01-02 07:30:00,16735.87,16760.69,16716.0,16721.28,5032.31565,1672646399999,84217666.40119530,139362,2416.24473000,40437186.12536480,0
2023-01-02 08:00:00,16721.27,16772.01,16707.52,16738.48,4368.52485,1672648199999,73122649.68837110,133628,2280.57465000,38174097.52177770,0
2023-01-02 08:30:00,16738.93,16756.64,16724.85,16733.71,2712.28641,1672649999999,45407223.81892370,99061,1319.67066000,22093353.85393040,0
2023-01-02 09:00:00,16733.71,16745.68,16720.0,16723.37,2819.67217,1672651799999,47176583.61836570,96150,1375.04691000,23006801.11912270,0
2023-01-02 09:30:00,16723.77,16736.59,16710.54,16717.5,2779.53679,1672653599999,46479227.23218230,92221,1331.59056000,22267599.93663900,0
2023-01-02 10:00:00,16717.5,16762.86,16708.68,16732.41,3808.08711,1672655399999,63726459.36533660,110189,1999.33212000,33457803.15378110,0
2023-01-02 10:30:00,16732.41,16742.31,16722.15,16727.95,2084.48994,1672657199999,34875402.56039820,88255,1067.12061000,17854077.62416510,0
2023-01-02 11:00:00,16727.72,16732.7,16716.52,16718.59,2118.78825,1672658999999,35432962.66395230,84348,1048.64889000,17537029.45944040,0
2023-01-02 11:30:00,16718.56,16741.72,16704.07,16735.11,2576.55567,1672660799999,43092012.42749660,95846,1345.59785000,22505530.63847040,0
2023-01-02 12:00:00,16735.51,16746.29,16730.04,16737.28,2183.32262,1672662599999,36543547.47626010,91825,1139.79958000,19077844.20035140,0
2023-01-02 12:30:00,16737.28,16739.32,16719.3,16721.54,2078.68101,1672664399999,34772894.48607490,86795,982.76676000,16440463.27662290,0
2023-01-02 13:00:00,16721.96,16725.6,16712.6,16718.34,2133.01767,1672666199999,35661136.45824300,83506,1029.45282000,17211333.89380050,0
2023-01-02 13:30:00,16718.34,16721.6,16685.0,16694.78,3465.27939,1672667999999,57872859.26705780,107600,1553.34093000,25942120.81445510,0
2023-01-02 14:00:00,16695.12,16710.41,16689.99,16690.42,2552.49609,1672669799999,42629293.57471210,88418,1234.01906000,20609647.06933240,0
2023-01-02 14:30:00,16690.42,16703.93,16669.15,16698.69,2907.85466,1672671599999,48532854.42790750,95741,1480.70847000,24714026.42805820,0
2023-01-02 15:00:00,16698.69,16724.99,16692.01,16717.14,3146.58155,1672673399999,52577964.14210470,99344,1662.26625000,27775282.18065600,0
2023-01-02 15:30:00,16716.73,16750.0,16715.89,16734.66,3279.98192,1672675199999,54883021.19103370,102711,1715.85433000,28711636.88934390,0
2023-01-02 16:00:00,16734.66,16739.64,16718.79,16731.9,1796.33833,1672676999999,30053437.73269180,75382,892.44233000,14931235.52846610,0
2023-01-02 16:30:00,16731.56,16738.55,16708.23,16710.88,2064.68177,1672678799999,34534976.75589170,80517,988.07227000,16527362.77190530,0
2023-01-02 17:00:00,16710.69,16718.35,16707.12,16718.26,1734.44565,1672680599999,28987993.70575840,67836,953.73703000,15940174.47412750,0
2023-01-02 17:30:00,16717.93,16723.0,16711.23,16715.42,1301.46928,1672682399999,21754545.21952750,57136,669.23357000,11186591.52535840,0
2023-01-02 18:00:00,16715.42,16716.99,16707.59,16711.8,1210.71342,1672684199999,20233712.00270950,54216,636.29431000,10633960.86957550,0
2023-01-02 18:30:00,16711.8,16731.71,16707.47,16723.81,1599.98058,1672685999999,26749891.54857520,59648,833.67211000,13938149.84507010,0
2023-01-02 19:00:00,16723.64,16728.75,16715.88,16717.02,1108.8814,1672687799999,18544018.39264160,48669,525.47548000,8787837.15473600,0
2023-01-02 19:30:00,16717.02,16738.22,16716.94,16737.56,1498.2261,1672689599999,25061471.89321350,59704,790.58305000,13224615.89559940,0
2023-01-02 20:00:00,16737.56,16738.23,16709.29,16729.44,1678.77624,1672691399999,28073019.83395020,62491,825.23714000,13799639.40598270,0
2023-01-02 20:30:00,16729.82,16734.0,16719.72,16728.52,1202.76274,1672693199999,20120459.97955010,49331,592.20148000,9906802.76019610,0
2023-01-02 21:00:00,16728.52,16735.82,16720.2,16727.83,1398.50846,1672694999999,23394913.03550040,52583,731.63619000,12239305.61474770,0
2023-01-02 21:30:00,16727.65,16799.23,16718.41,16757.76,2372.57068,1672696799999,39741267.09041180,66941,1301.63575000,21803812.16765970,0
2023-01-02 22:00:00,16757.76,16763.78,16724.08,16725.97,1932.3447,1672698599999,32354381.19714670,73018,895.58267000,14995804.83681600,0
2023-01-02 22:30:00,16725.64,16728.66,16690.18,16698.4,3676.8063,1672700399999,61425008.22153540,99656,1866.16810000,31176464.87996360,0
2023-01-02 23:00:00,16698.4,16722.98,16686.0,16710.46,3500.74778,1672702199999,58490140.63663000,94765,1807.16953000,30193347.17470670,0
2023-01-02 23:30:00,16709.99,16713.78,16660.51,16672.87,3305.8055,1672703999999,55167397.13447640,81576,1438.08651000,23999629.13753210,0
2023-01-03 00:00:00,16672.78,16693.0,16647.81,16682.79,3298.83443,1672705799999,55007087.01270630,93411,1685.07787000,28097724.03312620,0
2023-01-03 00:30:00,16682.79,16706.14,16680.4,16695.59,2385.7804,1672707599999,39839072.42678020,85546,1198.92879000,20020327.88096870,0
2023-01-03 01:00:00,16695.59,16696.04,16651.42,16660.27,3164.04431,1672709399999,52755915.80027740,97738,1543.44482000,25734717.78485900,0
2023-01-03 01:30:00,16660.27,16681.75,16655.74,16677.6,2442.16339,1672711199999,40708258.12428610,85907,1241.18692000,20689559.64856150,0
2023-01-03 02:00:00,16677.6,16688.53,16671.6,16675.5,2042.88663,1672712999999,34077110.71847150,74985,982.15547000,16383406.45970180,0
2023-01-03 02:30:00,16675.5,16685.37,16671.84,16674.03,2174.34821,1672714799999,36265964.86718790,82386,1066.85434000,17794188.53287590,0
2023-01-03 03:00:00,16674.04,16692.31,16666.91,16685.26,2497.30675,1672716599999,41648073.20341640,86640,1329.69568000,22176037.43754410,0
2023-01-03 03:30:00,16685.66,16700.28,16683.79,16691.81,2178.09184,1672718399999,36358624.26093250,95849,1107.24160000,18483235.65469580,0
2023-01-03 04:00:00,16691.81,16699.63,16686.8,16693.03,1822.78022,1672720199999,30427233.33483680,79907,881.69060000,14718039.21192510,0
2023-01-03 04:30:00,16693.02,16694.99,16681.79,16685.64,1768.58796,1672721999999,29514498.77145660,65390,880.42740000,14692855.04397760,0
2023-01-03 05:00:00,16685.21,16707.0,16683.31,16693.55,2247.72695,1672723799999,37525298.93275880,91158,1132.75333000,18911370.81823090,0
2023-01-03 05:30:00,16693.54,16727.72,16691.91,16725.5,2966.86763,1672725599999,49580007.95641090,109520,1540.93863000,25751101.75005120,0
2023-01-03 06:00:00,16725.5,16760.42,16724.42,16759.25,3782.1112,1672727399999,63328596.41603290,129078,1944.43486000,32558770.13010070,0
2023-01-03 06:30:00,16759.25,16778.4,16722.31,16727.58,3341.29299,1672729199999,55936325.32797760,117350,1636.23918000,27391788.39195620,0
2023-01-03 07:00:00,16727.58,16731.83,16711.53,16716.18,2775.22511,1672730999999,46408387.73351520,98600,1327.36783000,22197256.36057250,0
2023-01-03 07:30:00,16715.81,16732.64,16707.57,16729.74,2729.75127,1672732799999,45642487.63517300,96277,1389.02010000,23225323.26653450,0
2023-01-03 08:00:00,16730.15,16735.84,16709.27,16719.53,3267.31778,1672734599999,54632260.52418180,114428,1605.73250000,26849334.44171210,0
2023-01-03 08:30:00,16719.9,16721.41,16698.15,16715.22,3793.43391,1672736399999,63389219.96442430,130950,1876.12621000,31351076.64158450,0
2023-01-03 09:00:00,16714.77,16735.64,16714.0,16727.38,3184.24531,1672738199999,53261672.94774380,106761,1606.20905000,26866527.16938470,0
2023-01-03 09:30:00,16727.54,16766.0,16727.31,16741.31,3793.66134,1672739999999,63520901.66338990,122098,1970.42632000,32993411.94283220,0
2023-01-03 10:00:00,16741.22,16749.1,16730.07,16735.88,3085.11721,1672741799999,51638079.74733430,101156,1501.96369000,25139797.94753240,0
2023-01-03 10:30:00,16735.53,16741.94,16721.89,16724.32,2554.93069,1672743599999,42753817.11916670,88692,1290.97623000,21603348.16143980,0
